produto,total_vendas,receita_total
LIMPADOR PERFUMADO VEJA PERFUMES LAVANDA DA FRANCA 2L,34581.0,534802.66
DETERGENTE LIQUIDO YPE CLEAR DESC 10% C/6 500ML,41475.0,533001.08
AMACIANTE CONCENTRADO COALA CHA BRANCO 1L,39731.0,532102.85
SABAO EM PO ASSIM TRIPLA ACAO EMB ECONOMICA 800G,69642.0,531576.07
AGUA SANITARIA CANDURA 1L,149455.0,530453.22
SABAO EM PO GIRANDO SOL OPTICAL WASH CUIDA PROTEGE 1.6KG,40429.0,530156.76
"LIMPADOR PERFUMADO UAU FLORES VERMELHAS SEDUCAO PROMO 1,8L",44960.0,529473.7
AMACIANTE CONCENTRADO DOWNY ALFAZEMA LAVANDA EXTRA 1L,22774.0,522150.58
DESINFETANTE PINHO SOL LIMAO 500ML,56016.0,521230.8
DESINFETANTE PINHO BRIL CAMPOS LAVANDA 1L,43789.0,520321.04
AGUA SANITARIA GUIMARAES 5L,48764.0,516766.79
DESINFETANTE BAK YPE LAVANDA 2L,47670.0,516549.56
CLORO EM GEL QBOA 1L,43932.0,515476.12
SABAO LIQUIDO UAU ACTIVE 800 ML,51749.0,515064.75
LIMPADOR PERFUMADO UAU BRISA E FRESCOR 500ML,98933.0,514612.12
DETERGENTE LIQUIDO LIMPOL NEUTRO 5L,23220.0,511836.66
AMACIANTE CONCENTRADO COMFORT PURO CUIDADO FRASCO 500ML,38587.0,509172.74
LIMPADOR ESSENCIA COALA EUCALIPTO CITRIODORA 120ML,36029.0,508919.15
AMACIANTE CONCENTRADO COALA ORQUIDEA 1L,37728.066999999995,506895.07
SABAO EM PO ALA ERVA DOCE E BICARBONATO 800G,62819.0,505609.67
"AMACIANTE CONCENTRADO DOWNY VERAO TROPICAL 1,5L",18837.0,505474.91
SABAO LIQUIDO AQUAFAST TERNURA 3L,22610.0,505374.0
AMACIANTE DILUIDO AQUAFAST SEDUCAO VERMELHO 5L,34578.99996,504241.52
LIMPADOR MULTIUSO VEJA ORIGINAL SQUEEZE 750ML,69637.0,503212.45
